C1,V1,C2,C3,V2,C4,language,singular,plural,stem,segment1,segment2,notes,C5,pagetype,voice_satisfying,place_satisfying
t,e,d, ,u,s,both,teldus,teldusfa,teldus,,,,l,training,,
l,a,b, ,a,p,both,labap,labapfa,labap,,,,,training,,
f,o,ng, ,e,m,both,fongem,fongemfa,fongem,,,swapped ng and f,,training,,
p,u,s, ,i,t,both,pufsit,pufsitfa,pufsit,,,,f,training,,
n,i,m, ,o,l,both,nimol,nimolfa,nimol,,,,,training,,
n,e,m,p,a,b,voice,nemab,nemapfa,nemab,b,,,,training,,
s,o,b,t,u,d,voice,sobud,sobutfa,sobud,d,,,,training,,
f,e,t,p,a,b,voice,fetab,fetapfa,fetab,b,,,,training,,
t,a,d,t,i,d,voice,tamdid,tamditfa,tamdid,d,,,m,training,,
d,u,ng,p,i,b,voice,dungib,dungipfa,dungib,b,,swapped ng and d,,training,,
m,i,l,t,o,d,voice,milod,milotfa,milod,d,,,,training,,
l,i,p,p,e,b,voice,lispeb,lispepfa,lispeb,b,,,s,training,,
s,a,ng,t,o,d,voice,sangod,sangotfa,sangod,d,,,,training,,
p,o,n,p,e,b,voice,poneb,ponepfa,poneb,b,,,,training,,
b,u,f,t,u,d,voice,bupfud,bupfutfa,bupfud,d,,,p,training,,
f,u,n,p,e,m,plural,funemfa,funepfa,fune,p,,,,training,,
s,e,m,t,o,m,plural,semomfa,semotfa,semo,t,,,,training,,
n,a,ng,p,i,m,plural,nangimfa,nangipfa,nangi,p,,,,training,,
s,i,p,t,u,m,plural,sipumfa,siputfa,sipu,t,,,,training,,
l,o,t,p,a,m,plural,lotamfa,lotapfa,lota,p,,,,training,,
m,e,l,t,o,m,plural,melomfa,melotfa,melo,t,,,,training,,
b,a,ng,p,u,m,plural,bangumfa,bangupfa,bangu,p,,,,training,,
t,u,b,t,e,m,plural,tubemfa,tubetfa,tube,t,,,,training,,
d,i,f,p,a,m,plural,ditfamfa,ditfapfa,ditfa,p,,,t,training,,
p,o,d,t,i,m,plural,podimfa,poditfa,podi,t,,,,training,,
s,u,m,m,e,n,nasal,sumen,sumemfa,sumen,n,,,,training,,
